target_id,component_1,component_2,actual_risk_class,predicted_risk_class
validation_s6101_c00,-2.199882153171691,-0.7496484229679475,SAFE,CAUTION
validation_s6101_c01,-4.343857829345913,2.3833683698328514,SAFE,SAFE
validation_s6101_c02,2.017697643226581,-2.102536717715898,SAFE,SAFE
validation_s6101_c03,6.827295423101958,-0.08401017410528919,SAFE,SAFE
validation_s6101_c04,-0.9467594439754603,-3.3604423457562547,UNSAFE,UNSAFE
validation_s6101_c05,-1.506444164708939,3.1499224987980563,SAFE,SAFE
validation_s6101_c06,5.23730425666279,-1.1253514215458496,SAFE,SAFE
validation_s6101_c07,1.1559874073126646,1.4404365807231823,SAFE,SAFE
validation_s6101_c08,-5.116919682637273,-2.536806534697253,UNSAFE,UNSAFE
validation_s6101_c09,0.2625446681586179,2.9954709853256163,SAFE,SAFE
validation_s6101_c10,-4.418082078127819,0.5956056485423734,CAUTION,CAUTION
validation_s6101_c11,2.444020807555557,1.9697336482445078,SAFE,SAFE
validation_s6102_c00,5.926300163312968,-0.2933704865559308,SAFE,SAFE
validation_s6102_c01,-1.895097654835696,2.9364444166853945,SAFE,SAFE
validation_s6102_c02,6.491695221032749,0.38051868420501883,SAFE,SAFE
validation_s6102_c03,-2.638192855443561,-2.622907447478615,UNSAFE,UNSAFE
validation_s6102_c04,4.690365170409561,-1.3134993481044905,SAFE,SAFE
validation_s6102_c05,-2.475802912150233,2.977981705170997,SAFE,SAFE
validation_s6102_c06,-2.6512047722975516,-1.1822813958651075,UNSAFE,CAUTION
validation_s6102_c07,-5.6679252421070245,1.404175885623266,CAUTION,CAUTION
validation_s6102_c08,-2.8183581769953086,2.1641762659874395,SAFE,SAFE
validation_s6102_c09,-1.9935807481447414,-4.942188267011214,UNSAFE,UNSAFE
validation_s6102_c10,1.0204372351057496,-0.9482975282783144,SAFE,SAFE
validation_s6102_c11,-1.492189162658955,0.14683585847666,UNSAFE,SAFE
validation_s6103_c00,3.194515959274582,0.03246027823290664,SAFE,SAFE
validation_s6103_c01,0.9184380798399594,-2.743978114405296,SAFE,SAFE
validation_s6103_c02,-3.6115363817908444,-4.659236470195097,UNSAFE,UNSAFE
validation_s6103_c03,-0.6589391687838058,-3.869347600544419,CAUTION,CAUTION
validation_s6103_c04,-6.27735236052545,5.033845259205767,CAUTION,CAUTION
validation_s6103_c05,2.913088180820137,0.8648631051436617,SAFE,SAFE
validation_s6103_c06,-5.747839044403423,-2.6267231642399067,UNSAFE,UNSAFE
validation_s6103_c07,4.737832262635182,2.1651585473139523,SAFE,SAFE
validation_s6103_c08,3.5066994026826084,0.7741216766303564,SAFE,SAFE
validation_s6103_c09,5.4194108131899545,0.5640209441607122,SAFE,SAFE
validation_s6103_c10,-0.3599623827515432,-2.131722931673138,SAFE,SAFE
validation_s6103_c11,-1.6161779921502373,2.8741692570066224,SAFE,SAFE
validation_s6104_c00,-1.6006359796369904,3.7726034351259905,SAFE,SAFE
validation_s6104_c01,-2.0657047969187636,-1.0696887968904285,SAFE,CAUTION
validation_s6104_c02,-2.8775325629155404,3.4899067379788637,SAFE,SAFE
validation_s6104_c03,-5.9378369751196995,-0.201698805059787,UNSAFE,UNSAFE
validation_s6104_c04,-2.510709965934873,-4.46088232726768,UNSAFE,UNSAFE
validation_s6104_c05,-0.8119350808978253,-1.646942595923721,UNSAFE,SAFE
validation_s6104_c06,-0.8594179617132245,-4.637475443919327,CAUTION,UNSAFE
validation_s6104_c07,5.2016348345648895,0.7574761873966168,SAFE,SAFE
validation_s6104_c08,2.6912606045740355,1.3027497846007092,SAFE,SAFE
validation_s6104_c09,6.836508698074919,-0.2221529984661329,SAFE,SAFE
validation_s6104_c10,0.40111462452350877,1.8846043191305046,SAFE,SAFE
validation_s6104_c11,3.7350326069689634,0.4852332945450078,SAFE,SAFE
validation_s6105_c00,0.7823157349454488,-2.96189697481457,SAFE,SAFE
validation_s6105_c01,-0.6091211390565399,3.1421125049744707,SAFE,SAFE
validation_s6105_c02,-2.917667414404175,1.8213886962460812,CAUTION,CAUTION
validation_s6105_c03,5.615800421938583,0.22802124639804933,SAFE,SAFE
validation_s6105_c04,-6.120158310735076,-0.25926943535495156,UNSAFE,UNSAFE
validation_s6105_c05,2.81624023909405,-0.06631743730479275,SAFE,SAFE
validation_s6105_c06,-6.86797571276109,0.5741984770452174,UNSAFE,UNSAFE
validation_s6105_c07,1.7377864230878313,1.4650901839762382,SAFE,SAFE
validation_s6105_c08,-0.6286564884825026,-1.7446902202889245,SAFE,SAFE
validation_s6105_c09,1.1086821192922653,-2.5501005086010267,CAUTION,UNSAFE
validation_s6105_c10,-0.6635351144128683,-2.845221133321756,SAFE,SAFE
validation_s6105_c11,5.151983022217458,2.7536726354567436,SAFE,SAFE
validation_s6106_c00,4.438803652819356,2.0649967471231214,SAFE,SAFE
validation_s6106_c01,4.745087358888443,-1.114213952016437,SAFE,SAFE
validation_s6106_c02,0.43537060255632754,3.462839422581163,SAFE,SAFE
validation_s6106_c03,-6.690953601430909,5.801987869152319,CAUTION,CAUTION
validation_s6106_c04,-1.0047396668332504,-1.4478053646618827,SAFE,CAUTION
validation_s6106_c05,4.095859239166033,0.9230497481210962,SAFE,SAFE
validation_s6106_c06,1.1936533408311694,2.439008228968802,SAFE,SAFE
validation_s6106_c07,-2.43854411670282,1.3060588120861805,SAFE,SAFE
validation_s6106_c08,-1.5989973089214613,-0.9944846658245315,UNSAFE,UNSAFE
validation_s6106_c09,1.065386487090928,-1.6407437781973784,SAFE,SAFE
validation_s6106_c10,-1.9338053211603667,-2.1246439417804757,CAUTION,CAUTION
validation_s6106_c11,-4.1120136024357725,-3.4282362017855075,UNSAFE,UNSAFE
validation_s6107_c00,3.843277392385374,1.547917066533174,SAFE,SAFE
validation_s6107_c01,-3.402219005101791,-3.7880859444997044,UNSAFE,UNSAFE
validation_s6107_c02,-1.066974532494329,1.512735209439278,SAFE,SAFE
validation_s6107_c03,1.1968638944374415,-4.331712875713371,SAFE,SAFE
validation_s6107_c04,-6.656653291423693,-0.972415359688009,UNSAFE,UNSAFE
validation_s6107_c05,2.827606230463199,0.5525666858600483,SAFE,SAFE
validation_s6107_c06,-3.241822243197871,-4.412913551608293,UNSAFE,UNSAFE
validation_s6107_c07,6.612064039865445,0.5166785516225084,SAFE,SAFE
validation_s6107_c08,5.506771724506534,0.05848065126446898,SAFE,SAFE
validation_s6107_c09,1.1712168663365146,-2.6895658710078045,SAFE,SAFE
validation_s6107_c10,-1.1872544374689369,3.2922570669848037,SAFE,SAFE
validation_s6107_c11,-1.914423255449224,2.983264766340877,SAFE,SAFE
validation_s6108_c00,-4.528678594660251,6.30192659433839,SAFE,CAUTION
validation_s6108_c01,-2.1977099559463102,3.078991105516114,SAFE,SAFE
validation_s6108_c02,-3.6011253830011904,-1.9860448197969198,UNSAFE,UNSAFE
validation_s6108_c03,6.69283259721578,-0.07075534095663145,SAFE,SAFE
validation_s6108_c04,1.6972470103336934,-0.013429088008800756,SAFE,UNSAFE
validation_s6108_c05,3.632203249218448,-1.0710938270059136,SAFE,SAFE
validation_s6108_c06,-3.753950918380989,-1.5789340930502604,CAUTION,CAUTION
validation_s6108_c07,-0.1935101021027212,-0.4788314889691329,SAFE,SAFE
validation_s6108_c08,-0.7842373105476388,0.7820414553606359,SAFE,SAFE
validation_s6108_c09,1.5355036702929872,-0.4632191934157103,SAFE,SAFE
validation_s6108_c10,1.2781632857399579,1.3216332064170102,SAFE,SAFE
validation_s6108_c11,-6.751974698545929,-1.711988092728596,UNSAFE,UNSAFE
validation_s6109_c00,5.355529207037,-0.7128463330407999,SAFE,SAFE
validation_s6109_c01,-7.949453855262683,2.420082572287707,UNSAFE,UNSAFE
validation_s6109_c02,-0.7678869086530188,2.830568539378931,SAFE,SAFE
validation_s6109_c03,-0.8503750107068143,-1.5791818850640407,UNSAFE,CAUTION
validation_s6109_c04,-3.962165241117266,4.161696987348394,SAFE,SAFE
validation_s6109_c05,-3.337285528823976,-0.9412979180946558,SAFE,CAUTION
validation_s6109_c06,0.7109274064108961,-0.5001372133069262,UNSAFE,CAUTION
validation_s6109_c07,1.9427035203578498,1.7481607635277332,SAFE,SAFE
validation_s6109_c08,5.7464408935960645,0.3675425207635763,SAFE,SAFE
validation_s6109_c09,-3.3888852175428266,-3.8345736817602125,UNSAFE,UNSAFE
validation_s6109_c10,4.124163851747768,-2.0303180662734417,SAFE,SAFE
validation_s6109_c11,-1.2375919472405779,-4.156754887572206,CAUTION,CAUTION
validation_s6110_c00,5.106514879290228,-1.1904677283389786,SAFE,SAFE
validation_s6110_c01,2.1699823239374076,2.636195621780765,SAFE,CAUTION
validation_s6110_c02,-3.670672859558431,-0.0023226450996411438,UNSAFE,SAFE
validation_s6110_c03,0.7264534842119692,0.5272605914547511,SAFE,SAFE
validation_s6110_c04,-1.6647403394188762,-4.431175013403787,UNSAFE,UNSAFE
validation_s6110_c05,-1.9063772919511432,3.1452833499015096,SAFE,SAFE
validation_s6110_c06,-4.631884320861286,3.63681028591206,SAFE,CAUTION
